Date,Close,Open,High,Low,Vol,Change_%
"Jun 29, 2009",105.83,105.99,106.18,105.16,4681817,0.14
"Jun 26, 2009",105.68,106.50,106.50,105.05,5128668,-0.36
"Jun 25, 2009",106.06,103.70,106.78,103.51,6900783,1.83
"Jun 24, 2009",104.15,105.39,106.48,103.72,6395356,-0.28
"Jun 23, 2009",104.44,104.75,104.87,103.79,5154084,-0.08
"Jun 22, 2009",104.52,105.18,105.88,104.23,7296198,-1.29
"Jun 19, 2009",105.89,106.31,106.65,105.50,13562225,-0.41
"Jun 18, 2009",106.33,106.93,107.53,106.12,6207156,-0.63
"Jun 17, 2009",107.00,107.46,107.88,106.88,7366166,-0.30
"Jun 16, 2009",107.32,108.47,109.14,107.27,7231444,-0.28
"Jun 15, 2009",107.62,107.63,108.83,107.24,8567686,-0.55
"Jun 12, 2009",108.21,108.40,109.28,107.75,7250917,-1.09
"Jun 11, 2009",109.40,108.75,110.64,108.56,9136089,0.97
"Jun 10, 2009",108.35,109.20,109.28,107.05,7578705,0.19
"Jun 09, 2009",108.14,108.15,109.14,107.99,8592752,0.60
"Jun 08, 2009",107.49,106.64,107.98,105.50,6364301,0.23
"Jun 05, 2009",107.24,107.33,108.40,106.75,7665350,0.86
"Jun 04, 2009",106.33,106.17,106.87,105.60,5468792,-0.15
"Jun 03, 2009",106.49,106.53,106.60,105.11,7688214,-0.32
"Jun 02, 2009",106.83,107.51,108.80,106.66,7046035,-1.42
"Jun 01, 2009",108.37,106.94,108.67,106.67,7725911,1.97
"May 29, 2009",106.28,104.47,106.50,103.95,6871876,1.52
"May 28, 2009",104.69,103.34,105.14,102.68,6127885,1.71
"May 27, 2009",102.93,104.34,105.17,102.91,7121132,-1.99
"May 26, 2009",105.02,101.32,105.63,101.02,7211942,3.07
"May 22, 2009",101.89,102.67,103.31,101.75,5596474,-0.90
"May 21, 2009",102.82,103.07,103.25,101.74,7411431,-1.18
